ProdId,SaledQte,PurchasedQte,diff
1246,1.43421,51.923076,50.488866
1259,1.132295,3.322222,2.189927
1260,1.185714,5.28125,4.095536
1262,1.487964,8.532467,7.044503000000001
1275,1.0,1.0,0.0
1277,1.216666,2.5,1.283334
1281,1.030303,1.73913,0.7088270000000001
1282,3.875,11.428571,7.553571
1283,3.425,10.76923,7.3442300000000005
1284,1.0,1.612903,0.612903
1286,1.051546,1.5,0.4484539999999999
1297,1.0,1.032258,0.0322579999999999
1298,1.037037,1.638888,0.6018509999999999
1300,1.1,1.393939,0.29393899999999995
1301,1.0625,1.222222,0.15972199999999992
1317,1.916666,2.0,0.08333400000000002
1321,1.0,5.0,4.0
1322,2.193548,13.0,10.806452
1327,1.072,8.611111,7.539110999999999
1341,1.014814,1.835443,0.8206289999999998
1342,1.0,1.0,0.0
1344,1.049723,2.329411,1.279688
1345,1.090395,2.01,0.9196049999999998
1346,1.091428,4.333333,3.2419049999999996
1347,1.0,1.142857,0.142857
1359,1.0,2.666666,1.6666660000000002
1360,1.188679,1.477272,0.2885929999999999
1361,1.076923,1.523076,0.446153
1362,1.043478,1.130434,0.08695600000000003
1364,3.063829,10.0,6.936171
1368,2.826923,10.666666,7.8397429999999995
1369,1.0,1.246153,0.24615300000000007
1370,1.042622,3.894117,2.851495
1371,1.0,1.0,0.0
1373,1.055045,1.720588,0.665543
1374,1.061538,1.875,0.8134619999999999
1377,1.0,1.421052,0.421052
1378,1.037974,1.231884,0.19391000000000003
1380,1.057553,1.733333,0.67578
1381,1.274509,3.826923,2.5524139999999997
1383,1.285714,1.774193,0.4884789999999999
1384,1.0,1.102941,0.10294099999999995
1385,1.089285,1.352941,0.2636559999999999
1389,1.0,1.415094,0.4150940000000001
1390,1.125954,4.323943,3.1979889999999997
1391,3.212169,30.156716,26.944547
1392,1.087878,3.623762,2.5358840000000002
1396,1.019607,1.816666,0.797059
1399,1.140495,1.878378,0.7378830000000001
1400,1.451612,2.4,0.948388
1415,1.038961,1.2,0.16103899999999993
1424,1.016129,2.193548,1.1774189999999998
1426,1.0,1.259259,0.2592589999999999
1428,1.474576,2.275,0.8004239999999998
1429,1.050279,2.558441,1.5081620000000002
1430,1.038461,3.25,2.211539
1431,1.07619,2.468085,1.3918949999999999
1434,1.0,1.04,0.040000000000000036
1437,1.168776,3.54878,2.3800039999999996
1438,1.151515,1.25,0.09848499999999993
1439,1.0,1.2,0.19999999999999996
1441,1.025316,1.135135,0.10981900000000011
1442,1.0,1.125,0.125
1445,1.027777,1.083333,0.05555600000000016
1447,1.254901,2.528301,1.2733999999999999
1449,1.378151,4.882352,3.504201
1450,1.142857,2.277777,1.13492
1451,1.090425,2.234042,1.143617
1452,1.077586,1.924242,0.8466560000000001
1454,1.013605,2.903846,1.890241
1455,1.144796,2.372727,1.2279309999999999
1457,7.301923,159.027777,151.725854
1458,1.032467,11.305555,10.273088
1460,1.038054,5.761363,4.723309
1461,1.154362,3.066666,1.912304
1463,1.141112,4.765363,3.624251
1464,1.02439,1.222222,0.197832
1468,1.055555,2.594202,1.538647
1469,1.137681,2.821428,1.683747
1470,1.075921,4.327586,3.251665
1472,1.651612,10.408163,8.756551
1473,2.0,4.0,2.0
1476,1.058333,1.417582,0.35924899999999993
1478,1.052631,1.27027,0.21763899999999992
1481,3.065789,14.818181,11.752391999999999
1486,1.694602,14.814814,13.120212
1490,1.281021,13.75,12.468979000000001
1493,1.796116,5.162162,3.3660460000000003
1494,1.043478,3.375,2.331522
1495,1.013215,3.61194,2.598725
1496,1.0,1.655737,0.655737
1499,1.028248,2.506666,1.478418
1506,1.522123,2.465753,0.94363
1509,1.03012,5.057142,4.027022
1512,1.206896,2.0,0.793104
1513,1.137055,2.101851,0.964796
1515,1.07317,2.252427,1.179257
1517,1.112426,1.81132,0.6988940000000001
1519,1.0,1.0,0.0
1520,1.03409,1.378787,0.34469700000000003
1522,1.021739,2.0,0.978261
1527,1.481481,8.5,7.0185189999999995
1557,1.166666,1.333333,0.16666700000000012
1558,1.074646,50.0,48.925354
1559,1.116713,45.216374,44.099661000000005
1562,1.344444,2.891304,1.54686
1563,3.529411,20.727272,17.197861
1564,1.02574,11.347222,10.321482
1565,3.323333,14.558823,11.23549
1566,1.05,5.682926,4.632926
1567,3.591304,15.642857,12.051552999999998
1568,1.038674,15.128205,14.089531
1569,3.427509,17.75,14.322491
1571,1.05368,9.513513,8.459833
1573,1.042857,7.528089,6.485232
1574,3.31884,16.551724,13.232884
1575,1.092187,13.657142,12.564955000000001
1577,1.023041,8.882352,7.859310999999999
1578,3.48387,14.583333,11.099463
1581,1.095487,9.257812,8.162325
1582,1.068779,11.144736,10.075957
1583,3.854679,19.807228,15.952548999999998
1593,1.083333,2.0,0.9166669999999999
1594,1.04918,3.529411,2.480231
1596,1.074141,4.201388,3.1272469999999997
1597,1.070175,1.475,0.404825
1604,1.297619,2.446808,1.1491889999999998
1614,1.038834,1.321428,0.282594
1622,1.0,1.0,0.0
1624,1.006329,1.729166,0.722837
1625,5.353086,34.6875,29.334414
1626,1.015267,1.20909,0.19382300000000008
1627,1.164864,2.966216,1.8013520000000003
1629,1.085271,3.428571,2.3432999999999997
1630,1.052816,3.517441,2.464625
1633,1.4,10.0,8.6
1635,1.029739,1.479166,0.449427
1638,1.059701,1.396226,0.33652499999999996
1642,5.955078,101.741935,95.786857
1646,1.076502,2.266666,1.1901639999999998
1677,1.0,1.05,0.050000000000000044
1680,1.047619,4.142857,3.095238
1681,1.069022,23.321739,22.252717
1684,1.189005,24.99,23.800994999999997
1685,1.130136,9.352941,8.222805
1686,1.193347,4.413533,3.220186
1687,1.019607,2.458333,1.4387260000000002
1690,1.079365,2.225806,1.146441
1691,1.076923,2.961538,1.884615
1694,1.08704,9.047619,7.960578999999999
1695,1.077067,4.660714,3.5836469999999996
1696,1.092105,1.954545,0.8624399999999999
1706,1.270718,5.363636,4.092917999999999
1720,1.02459,1.6125,0.5879100000000002
1721,1.016042,3.790849,2.774807
1725,1.040462,1.908163,0.8677010000000001
1726,1.193277,3.40909,2.215813
1727,1.081081,1.311475,0.230394
1730,1.2,1.166666,-0.033333999999999975
1731,1.116666,4.35,3.2333339999999997
1734,1.014705,1.878048,0.863343
1736,1.028925,2.931818,1.9028929999999997
1737,2.299418,17.555555,15.256136999999999
1741,1.571428,2.25,0.678572
1742,1.125,4.5,3.375
1743,1.090243,3.806722,2.716479
1746,1.083333,3.542168,2.458835
1747,10.007142,29.104166,19.097023999999998
1748,1.08421,2.488372,1.4041620000000001
1751,1.0,1.0,0.0
1753,1.641379,10.47619,8.834811
1758,1.064356,3.508474,2.444118
1759,1.094117,3.5,2.405883
1760,1.142857,2.6,1.457143
1762,1.044673,4.089743,3.0450700000000004
1763,1.118518,3.413043,2.294525
1764,1.042813,3.113043,2.0702299999999996
1765,1.098039,3.870967,2.772928
1780,1.008695,1.372093,0.3633980000000001
1791,1.027027,1.078947,0.05192000000000019
1792,1.02439,1.52459,0.5002
1794,1.0,1.089552,0.08955200000000008
1795,1.0,1.081081,0.08108099999999996
1796,1.0,1.0,0.0
1798,1.006329,1.965116,0.9587870000000001
1799,1.057692,3.2,2.142308
1802,1.098039,1.696969,0.59893
1834,1.2,1.333333,0.13333300000000015
1835,1.25,1.444444,0.19444400000000006
1837,1.84593,51.552631,49.706700999999995
1838,1.022624,3.425373,2.402749
1839,1.104651,1.587301,0.48265
1840,1.104693,7.59375,6.489057
1842,1.375,1.3,-0.07499999999999996
1843,1.3297783763171098,1.0,-0.3297783763171098
1846,1.625,1.333333,-0.2916669999999999
1847,2.214765,11.0,8.785235
1848,1.037383,1.619718,0.582335
1849,1.189274,3.38938,2.200106
1854,1.4,2.038461,0.638461
1855,1.149466,3.954022,2.804556
1856,1.0,1.2,0.19999999999999996
1857,1.023255,1.666666,0.643411
1858,1.051724,1.148148,0.09642399999999984
1859,1.081081,1.37037,0.28928900000000013
1862,1.213539,34.253086,33.039547000000006
1868,1.120503,7.235294,6.114790999999999
1880,1.111111,2.037037,0.9259260000000002
1881,1.10909,1.658536,0.5494460000000001
1882,1.036144,2.432432,1.396288
1886,1.114406,7.315789,6.201383
1887,1.128205,2.195121,1.066916
1888,1.111764,9.427586,8.315822
1889,1.023952,2.320512,1.29656
1943,1.104395,2.22826,1.1238650000000001
1948,1.0,1.08,0.08000000000000007
1949,1.071428,1.55,0.478572
1950,1.037037,2.15,1.112963
1952,1.064161,5.046808,3.9826470000000005
1954,2.564814,11.2,8.635186
1955,1.217603,6.072289,4.854685999999999
1956,1.225352,4.17647,2.951118
1958,1.15196,2.823529,1.671569
1960,1.1,1.4,0.2999999999999998
1962,1.0,1.208333,0.2083330000000001
1964,1.0,1.15625,0.15625
1965,1.541666,2.655172,1.1135059999999999
1966,1.102272,2.970149,1.8678770000000002
1967,1.186046,1.317073,0.131027
1968,1.537634,4.025641,2.4880070000000005
1970,1.3297783763171098,1.0,-0.3297783763171098
1971,1.068181,2.641304,1.5731229999999998
1974,7.56,25.5,17.94
1975,1.029197,1.366972,0.33777500000000016
1976,1.166666,2.671875,1.505209
1978,1.0,1.151515,0.15151500000000007
1992,1.0,1.083333,0.0833330000000001
1994,1.220994,4.207547,2.986553
1995,1.096385,1.453125,0.35674000000000006
1996,2.75,10.869565,8.119565
1999,1.875,6.0,4.125
2001,1.037037,1.5,0.462963
2004,1.0,2.133333,1.133333
2007,1.078947,1.787234,0.7082869999999999
2008,4.345622,23.380952,19.035330000000002
2013,1.0,1.0,0.0
2023,1.053619,4.225806,3.172187
2025,1.313364,11.12,9.806636
2032,1.416666,2.923076,1.50641
2033,1.214285,2.0,0.7857149999999999
2034,1.0,1.75,0.75
2035,1.285714,1.8,0.514286
2036,1.043478,2.090909,1.047431
2037,1.125,2.0,0.875
2039,1.237373,11.636363,10.39899
2041,1.3297783763171098,1.0,-0.3297783763171098
2044,2.488479,11.659574,9.171095
2047,2.1,7.7,5.6
2059,1.9472,20.666666,18.719466
2065,1.04054,1.688172,0.647632
2066,1.146551,2.293103,1.1465519999999998
2067,1.03125,1.954545,0.923295
2068,1.168831,2.045454,0.8766229999999999
2069,1.404074,7.292035,5.887961000000001
2070,1.190163,4.464285,3.274122
2095,1.015384,1.957142,0.9417579999999999
2096,1.047619,1.53125,0.4836309999999999
2097,1.0,1.0,0.0
2110,1.1126,3.8125,2.6999
2113,1.012048,2.0,0.9879519999999999
2114,1.0,1.125,0.125
2115,1.039534,5.133333,4.093799000000001
2116,1.04054,1.822222,0.781682
2120,1.866666,21.395348,19.528682
2121,3.778947,11.212121,7.433173999999999
2123,2.057692,11.052631,8.994939
2130,1.294117,6.75,5.455883
2131,1.338926,4.858823,3.5198970000000003
2133,1.261904,3.363636,2.101732
2134,1.099056,2.876543,1.7774869999999998
2135,2.122977,12.980769,10.857792
2136,1.05,1.25,0.19999999999999996
2137,2.183823,11.111111,8.927287999999999
2140,1.010869,2.244444,1.233575
2146,1.135464,5.61151,4.476046
2147,1.076687,5.615384,4.538697
2148,1.080912,5.045871,3.964959
2153,1.924315,45.363636,43.439321
2154,1.049327,5.527131,4.477804
2155,1.146341,2.621621,1.4752800000000001
2172,1.125,1.542168,0.417168
2173,1.106382,2.690476,1.584094
2175,1.086956,2.30909,1.2221339999999998
2176,1.104986,9.711111,8.606125
2179,1.051851,2.0,0.9481489999999999
2180,1.0,1.142857,0.142857
